ID,Uitkeringen,Perioden,SocialeUitkeringen_1
658,A051746,2005JJ00,0
659,A051746,2006JJ00,0
660,A051746,2007JJ00,0
661,A051746,2008JJ00,0
662,A051746,2009JJ00,0
663,A051746,2010JJ00,0
664,A051746,2011JJ00,0
665,A051746,2012JJ00,0
666,A051746,2013JJ00,0
667,A051746,2014JJ00,0
668,A051746,2015JJ00,0
669,A051746,2016JJ00,0
670,A051746,2017JJ00,0
671,A051746,2018JJ00,0
672,A051746,2019JJ00,0
673,A051746,2020JJ00,0
674,A051746,2021JJ00,1166
675,A045317,1995JJ00,25
676,A045317,1996JJ00,26
677,A045317,1997JJ00,29
678,A045317,1998JJ00,32
679,A045317,1999JJ00,36
680,A045317,2000JJ00,39
681,A045317,2001JJ00,58
682,A045317,2002JJ00,80
683,A045317,2003JJ00,82
684,A045317,2004JJ00,82
685,A045317,2005JJ00,74
686,A045317,2006JJ00,74
687,A045317,2007JJ00,77
688,A045317,2008JJ00,88
689,A045317,2009JJ00,82
690,A045317,2010JJ00,83
691,A045317,2011JJ00,86
692,A045317,2012JJ00,92
693,A045317,2013JJ00,98
694,A045317,2014JJ00,93
695,A045317,2015JJ00,92
696,A045317,2016JJ00,94
697,A045317,2017JJ00,111
698,A045317,2018JJ00,116
699,A045317,2019JJ00,121
700,A045317,2020JJ00,128
701,A045317,2021JJ00,67
702,A045138,1995JJ00,924
703,A045138,1996JJ00,1021
704,A045138,1997JJ00,1185
705,A045138,1998JJ00,1364
706,A045138,1999JJ00,1459
707,A045138,2000JJ00,1462
708,A045138,2001JJ00,1505
709,A045138,2002JJ00,1717
710,A045138,2003JJ00,1603
711,A045138,2004JJ00,1649
712,A045138,2005JJ00,1686
713,A045138,2006JJ00,2026
714,A045138,2007JJ00,2148
715,A045138,2008JJ00,2159
716,A045138,2009JJ00,2135
717,A045138,2010JJ00,2213
718,A045138,2011JJ00,2311
719,A045138,2012JJ00,2288
720,A045138,2013JJ00,2435
721,A045138,2014JJ00,2814
722,A045138,2015JJ00,3094
723,A045138,2016JJ00,3339
724,A045138,2017JJ00,3434
725,A045138,2018JJ00,3504
726,A045138,2019JJ00,3551
727,A045138,2020JJ00,3811
728,A045138,2021JJ00,4001
729,A045125,1995JJ00,232
730,A045125,1996JJ00,236
731,A045125,1997JJ00,247
732,A045125,1998JJ00,244
733,A045125,1999JJ00,263
734,A045125,2000JJ00,270
735,A045125,2001JJ00,239
736,A045125,2002JJ00,251
737,A045125,2003JJ00,233
738,A045125,2004JJ00,191
739,A045125,2005JJ00,151
740,A045125,2006JJ00,112
741,A045125,2007JJ00,111
742,A045125,2008JJ00,113
743,A045125,2009JJ00,153
744,A045125,2010JJ00,152
745,A045125,2011JJ00,161
746,A045125,2012JJ00,181
747,A045125,2013JJ00,197
748,A045125,2014JJ00,251
749,A045125,2015JJ00,298
750,A045125,2016JJ00,299
751,A045125,2017JJ00,318
752,A045125,2018JJ00,409
753,A045125,2019JJ00,379
754,A045125,2020JJ00,359
755,A045125,2021JJ00,325
756,A045148,1995JJ00,568
757,A045148,1996JJ00,532
758,A045148,1997JJ00,572
759,A045148,1998JJ00,734
760,A045148,1999JJ00,843
761,A045148,2000JJ00,944
762,A045148,2001JJ00,1044
763,A045148,2002JJ00,1046
764,A045148,2003JJ00,1029
765,A045148,2004JJ00,909
766,A045148,2005JJ00,871
767,A045148,2006JJ00,928
768,A045148,2007JJ00,1032
769,A045148,2008JJ00,1047
770,A045148,2009JJ00,1386
771,A045148,2010JJ00,1490
772,A045148,2011JJ00,1436
773,A045148,2012JJ00,1457
774,A045148,2013JJ00,1435
775,A045148,2014JJ00,1481
776,A045148,2015JJ00,2663
777,A045148,2016JJ00,2738
778,A045148,2017JJ00,2936
