"ID","RegioS","Perioden","GrijzeDruk_24"
"15224","GM0123","2023JJ00",
"15253","GM0826","2023JJ00","41.1"
"15282","GM0580","2023JJ00",
"15311","GM0085","2023JJ00","46.7"
"15340","GM0431","2023JJ00","38.2"
"15369","GM0176","2023JJ00",
"15398","GM0432","2023JJ00","40.4"
"15427","GM0086","2023JJ00","41.8"
"15456","GM0828","2023JJ00","34.6"
"15485","GM0829","2023JJ00",
"15514","GM0831","2023JJ00",
"15543","GM0584","2023JJ00",
"15572","GM1509","2023JJ00","45.5"
"15601","GM0830","2023JJ00",
"15630","GM0437","2023JJ00","39.6"
"15659","GM0644","2023JJ00",
"15688","GM0589","2023JJ00","40.3"
"15717","GM1734","2023JJ00","36.6"
"15746","GM0590","2023JJ00","40.9"
"15775","GM1894","2023JJ00","41.3"
"15804","GM0124","2023JJ00",
"15833","GM0765","2023JJ00","41.5"
"15862","GM0594","2023JJ00",
"15891","GM1926","2023JJ00","26.9"
"15920","GM0832","2023JJ00",
"15949","GM0439","2023JJ00","35.7"
"15978","GM0833","2023JJ00",
"16007","GM0273","2023JJ00","38.4"
"16036","GM0177","2023JJ00","42.7"
"16065","GM0834","2023JJ00",
"16094","GM0835","2023JJ00",
"16123","GM0595","2023JJ00",
"16152","GM1661","2023JJ00",
"16181","GM0703","2023JJ00","31.8"
"16210","GM0274","2023JJ00","55.2"
"16239","GM0339","2023JJ00","27.7"
"16268","GM0836","2023JJ00",
"16297","GM1667","2023JJ00","39.9"
"16326","GM0275","2023JJ00","49.6"
"16355","GM0340","2023JJ00","41.4"
"16384","GM0597","2023JJ00","44.4"
"16413","GM0837","2023JJ00",
"16442","GM0602","2023JJ00",
"16471","GM0196","2023JJ00",
"16500","GM1672","2023JJ00",
"16529","GM0841","2023JJ00",
"16558","GM0178","2023JJ00",
"16587","GM1742","2023JJ00","35.6"
"16616","GM0603","2023JJ00","36.7"
"16645","GM0125","2023JJ00",
"16674","GM1669","2023JJ00","53"
"16703","GM0957","2023JJ00","37.7"
"16732","GM1670","2023JJ00",
"16761","GM0126","2023JJ00",
"16790","GM0736","2023JJ00","38.9"
"16819","GM1674","2023JJ00","38.7"
"16848","GM0838","2023JJ00",
"16877","GM0839","2023JJ00",
"16906","GM0276","2023JJ00",
"16935","GM0599","2023JJ00","24.6"
"16964","GM0600","2023JJ00",
"16993","GM0277","2023JJ00","47.9"
"17022","GM0840","2023JJ00","39.2"
"17051","GM0127","2023JJ00",
"17080","GM0128","2023JJ00",
"17109","GM0278","2023JJ00",
"17138","GM0704","2023JJ00",
"17167","GM0604","2023JJ00",
"17196","GM0441","2023JJ00","47.2"
"17225","GM0039","2023JJ00",
"17254","GM0458","2023JJ00",
"17283","GM0279","2023JJ00","35.7"
"17312","GM0606","2023JJ00","28.4"
"17341","GM0088","2023JJ00","52.8"
"17370","GM0844","2023JJ00",
"17399","GM0962","2023JJ00",
"17428","GM0607","2023JJ00",
"17457","GM0129","2023JJ00",
"17486","GM0608","2023JJ00",
"17515","GM0444","2023JJ00",
"17544","GM1676","2023JJ00","53.8"
"17573","GM0964","2023JJ00",
"17602","GM0965","2023JJ00","51.3"
"17631","GM1702","2023JJ00",
"17660","GM0845","2023JJ00","40.5"
"17689","GM0846","2023JJ00",
"17718","GM0968","2023JJ00",
"17747","GM1883","2023JJ00","43.7"
"17776","GM0051","2023JJ00",
"17805","GM0130","2023JJ00",
"17834","GM0610","2023JJ00","36.1"
"17863","GM0040","2023JJ00",
"17892","GM1714","2023JJ00","55.2"
"17921","GM1698","2023JJ00",
"17950","GM0090","2023JJ00","39.8"
"17979","GM0131","2023JJ00",
"18008","GM0091","2023JJ00",
"18037","GM0342","2023JJ00","42.1"
"18066","GM0847","2023JJ00","36.1"
"18095","GM0848","2023JJ00","39.7"
"18124","GM0612","2023JJ00",
"18153","GM0849","2023JJ00",
"18182","GM1691","2023JJ00",
"18211","GM0179","2023JJ00",
"18240","GM0037","2023JJ00","47.4"
"18269","GM0850","2023JJ00",
"18298","GM0180","2023JJ00","29.5"
"18327","GM0532","2023JJ00","41.8"
"18356","GM0851","2023JJ00","40.5"
"18385","GM0280","2023JJ00",
"18414","GM0181","2023JJ00",
"18443","GM1708","2023JJ00","41.9"
"18472","GM0971","2023JJ00","52.2"
"18501","GM1904","2023JJ00","39"
"18530","GM0973","2023JJ00",
"18559","GM0617","2023JJ00",
"18588","GM1900","2023JJ00","43.4"
"18617","GM0974","2023JJ00",
"18646","GM0975","2023JJ00",
"18675","GM0976","2023JJ00",
"18704","GM0853","2023JJ00",
"18733","GM0715","2023JJ00","45.7"
"18762","GM0093","2023JJ00","41.5"
"18791","GM0854","2023JJ00",
"18820","GM0448","2023JJ00","48.9"
"18849","GM1525","2023JJ00","35.9"
"18878","GM0716","2023JJ00","35.2"
"18907","GM0977","2023JJ00",
"18936","GM0281","2023JJ00","31.7"
"18965","GM0855","2023JJ00","27.6"
"18994","GM0183","2023JJ00","36.7"
"19023","GM1700","2023JJ00","37"
"19052","GM1730","2023JJ00","48.1"
"19081","GM0737","2023JJ00","46"
"19110","GM0282","2023JJ00",
"19139","GM0856","2023JJ00",
"19168","GM0857","2023JJ00",
"19197","GM0450","2023JJ00","33.1"
"19226","GM0451","2023JJ00","30.9"
"19255","GM0184","2023JJ00","18.7"
"19284","GM0344","2023JJ00","15.8"
"19313","GM1581","2023JJ00","47.1"
"19342","GM0981","2023JJ00","51.3"
"19371","GM0283","2023JJ00",
"19400","GM0619","2023JJ00",
"19429","GM0994","2023JJ00","56.8"
"19458","GM0720","2023JJ00",
"19487","GM0858","2023JJ00","47.1"
