"ID";"RegioS";"Perioden";"BbpVolumemutaties_3"
"457";"PV30    ";"2020JJ00";"-2.6"
"458";"PV30    ";"2021JJ00";"5.5"
"459";"PV31    ";"1995JJ00";
"460";"PV31    ";"1996JJ00";"2.7"
"461";"PV31    ";"1997JJ00";"5.5"
"462";"PV31    ";"1998JJ00";"5.1"
"463";"PV31    ";"1999JJ00";"5.3"
"464";"PV31    ";"2000JJ00";"2.9"
"465";"PV31    ";"2001JJ00";"2"
"466";"PV31    ";"2002JJ00";"0.2"
"467";"PV31    ";"2003JJ00";"-0.6"
"468";"PV31    ";"2004JJ00";"2.9"
"469";"PV31    ";"2005JJ00";"0.3"
"470";"PV31    ";"2006JJ00";"3.1"
"471";"PV31    ";"2007JJ00";"4.5"
"472";"PV31    ";"2008JJ00";"0.6"
"473";"PV31    ";"2009JJ00";"-4.9"
"474";"PV31    ";"2010JJ00";"2.1"
"475";"PV31    ";"2011JJ00";"2.9"
"476";"PV31    ";"2012JJ00";"-1.8"
"477";"PV31    ";"2013JJ00";"0.3"
"478";"PV31    ";"2014JJ00";"0.8"
"479";"PV31    ";"2015JJ00";"3.4"
"480";"PV31    ";"2016JJ00";"3.5"
"481";"PV31    ";"2017JJ00";"2.6"
"482";"PV31    ";"2018JJ00";"1.5"
"483";"PV31    ";"2019JJ00";"1.1"
"484";"PV31    ";"2020JJ00";"-3.9"
"485";"PV31    ";"2021JJ00";"4.7"
