"ID";"RegioS";"Jaar";"Grijze Druk"
"497";"CR01  ";"1999JJ00";"27.2"
"498";"CR01  ";"2000JJ00";"27.3"
"499";"CR01  ";"2001JJ00";"27.5"
"500";"CR01  ";"2002JJ00";"27.6"
"501";"CR01  ";"2003JJ00";"27.8"
"502";"CR01  ";"2004JJ00";"27.9"
"503";"CR01  ";"2005JJ00";"28.3"
"504";"CR01  ";"2006JJ00";"28.5"
"505";"CR01  ";"2007JJ00";"29"
"506";"CR01  ";"2008JJ00";"29.6"
"507";"CR01  ";"2009JJ00";"30.4"
"508";"CR01  ";"2010JJ00";"31.3"
"509";"CR01  ";"2011JJ00";"32.2"
"510";"CR01  ";"2012JJ00";"34.2"
"511";"CR01  ";"2013JJ00";"36"
"512";"CR01  ";"2014JJ00";"37.5"
"513";"CR01  ";"2015JJ00";"38.8"
"514";"CR01  ";"2016JJ00";"39.8"
"515";"CR01  ";"2017JJ00";"41.1"
"516";"CR01  ";"2018JJ00";"43"
"517";"CR01  ";"2019JJ00";"43.6"
"518";"CR01  ";"2020JJ00";"44.5"
"519";"CR01  ";"2021JJ00";"45.4"
"520";"CR01  ";"2022JJ00";"45.6"
"521";"CR01  ";"2023JJ00";"46.1"
"522";"CR02  ";"1995JJ00";"24.4"
"523";"CR02  ";"1996JJ00";"24.7"
"524";"CR02  ";"1997JJ00";"25"
"525";"CR02  ";"1998JJ00";"25.6"
"526";"CR02  ";"1999JJ00";"25.9"
"527";"CR02  ";"2000JJ00";"26.5"
"528";"CR02  ";"2001JJ00";"26.7"
"529";"CR02  ";"2002JJ00";"26.8"
"530";"CR02  ";"2003JJ00";"27"
"531";"CR02  ";"2004JJ00";"27.7"
"532";"CR02  ";"2005JJ00";"28.3"
"533";"CR02  ";"2006JJ00";"29.2"
"534";"CR02  ";"2007JJ00";"30"
"535";"CR02  ";"2008JJ00";"30.8"
"536";"CR02  ";"2009JJ00";"32"
"537";"CR02  ";"2010JJ00";"33"
"538";"CR02  ";"2011JJ00";"33.6"
"539";"CR02  ";"2012JJ00";"35.5"
"540";"CR02  ";"2013JJ00";"37.3"
"541";"CR02  ";"2014JJ00";"38.7"
"542";"CR02  ";"2015JJ00";"39.8"
"543";"CR02  ";"2016JJ00";"40.9"
"544";"CR02  ";"2017JJ00";"41.5"
"545";"CR02  ";"2018JJ00";"43"
"546";"CR02  ";"2019JJ00";"43.9"
"547";"CR02  ";"2020JJ00";"44.8"
"548";"CR02  ";"2021JJ00";"45.5"
"549";"CR02  ";"2022JJ00";"46.3"
"550";"CR02  ";"2023JJ00";"47"
"551";"CR03  ";"1995JJ00";"21.1"
"552";"CR03  ";"1996JJ00";"21.2"
"553";"CR03  ";"1997JJ00";"21.1"
"554";"CR03  ";"1998JJ00";"21.2"
"555";"CR03  ";"1999JJ00";"21.1"
"556";"CR03  ";"2000JJ00";"21"
"557";"CR03  ";"2001JJ00";"20.9"
"558";"CR03  ";"2002JJ00";"20.7"
"559";"CR03  ";"2003JJ00";"20.6"
"560";"CR03  ";"2004JJ00";"20.6"
"561";"CR03  ";"2005JJ00";"20.7"
"562";"CR03  ";"2006JJ00";"20.9"
"563";"CR03  ";"2007JJ00";"21.1"
"564";"CR03  ";"2008JJ00";"21.4"
"565";"CR03  ";"2009JJ00";"21.7"
"566";"CR03  ";"2010JJ00";"22"
"567";"CR03  ";"2011JJ00";"22.3"
"568";"CR03  ";"2012JJ00";"23.2"
"569";"CR03  ";"2013JJ00";"24.1"
"570";"CR03  ";"2014JJ00";"24.8"
"571";"CR03  ";"2015JJ00";"25.4"
"572";"CR03  ";"2016JJ00";"25.9"
"573";"CR03  ";"2017JJ00";"26.5"
"574";"CR03  ";"2018JJ00";"27.4"
"575";"CR03  ";"2019JJ00";"28.1"
"576";"CR03  ";"2020JJ00";"28.6"
"577";"CR03  ";"2021JJ00";"29.4"
"578";"CR03  ";"2022JJ00";"29.9"
"579";"CR03  ";"2023JJ00";"30.2"
"580";"CR04  ";"1995JJ00";"22.8"
"581";"CR04  ";"1996JJ00";"22.8"
